ID,x,y
1,38.6959988997377,6.41046086336393
2,45.5956490548117,9.32179032474776
3,47.8843250491842,10.095208713187
4,53.1553074484976,12.4270481067098
5,56.0212122369291,13.4656430449332
6,59.7052867258754,18.5290075342869
7,56.9310662370546,21.1096105640485
8,53.9118911162664,23.6282593118929
9,49.6743022058946,27.2808034832396
10,45.2496089520512,30.5145965348926
11,39.9875828770749,34.5984780035798
12,37.3718464238958,36.5574528998331
13,35.4042778664681,39.7086450582124
14,36.3249807921511,44.7873157053365
15,41.4450038347391,46.8637134362634
16,44.8915089297242,49.9473692330545
17,50.8764703811628,52.6114521985958
18,53.3248763036122,57.131699642245
19,54.6930441887725,62.0778155175749
20,52.2664118549401,64.7728452792842
21,49.6861153181327,69.6436001799025
22,47.2354889495602,75.362359980194
23,44.910958205782,81.1115692789936
24,40.7434565141536,84.3096822499534
25,35.3941769382267,86.2950494771019
26,33.8406144974683,87.7987569059041
27,35.6089751590094,89.056439909038
28,38.2802390545554,89.7306997172751
29,44.0704892582255,88.8650977861541
30,46.6973508623594,88.9992319453161
31,51.965729834233,88.8280698020785
32,55.8751583615705,89.8108567772629
33,60.4247711144652,90.2857185790795
34,65.2744480107712,91.3298112081076
35,67.3012257951812,91.5711270942035
36,71.6100731334045,92.7931486289309
37,77.7862543817697,93.1237234443816
38,83.1971142896229,93.6721994850845
39,88.9165794942467,94.7886892145852
40,94.5877034078652,94.2089893760638
